Number,SnapId,Distance,Bad Matches,Total Matches,Confidence,FaceId,Top,Bottom,Left,Right,UserEstimate
6286,5c6d4dd939c0bb322db2adcf,0.12162670493125916,0,5,0.9667059183120728,420e77de-331c-48f0-88a9-2dfa7a49c6d6,168,397,260,490,undefined
6287,5c6d4ac239c0bb322db2aa5e,0.1718222200870514,0,2,1.1245059967041016,04b60f79-9974-411e-bcab-eae781cc553a,192,384,357,548,undefined
6288,"5c6d4ab339c0bb322db2aa35, 'New', 'New', 'New'",0.44123977422714233,035f4ffa-3541-432b-b73d-d1b736f484ce,251,442,299,490,undefined,,,
6289,5c6d4a9639c0bb322db2a9c4,0.18893173336982727,0,1,0.9805046319961548,035f4ffa-3541-432b-b73d-d1b736f484ce,231,422,396,587,undefined
6290,5c6d4a8939c0bb322db2a9ba,0.1849420964717865,0,1,0.6076923608779907,d961b17d-9a29-4248-9423-396eba78cd1d,214,443,400,629,undefined
6291,5c6d4a6339c0bb322db2a998,0.15282374620437622,0,1,0.5183810591697693,768d6780-491d-4f13-aa46-8f64d4380f50,191,420,191,420,undefined
6292,"5c6d464a39c0bb322db2a3fa, 'New', 'New', 'New'",0.6336607933044434,5644cfc1-f4b1-484a-8bcd-92e860b91ed7,330,463,12,145,undefined,,,
6293,"5c6d3f2e39c0bb322db29814, 'New', 'New', 'New'",0.9910752773284912,de188124-4676-455a-bb12-c49c7560ab70,298,390,61,153,undefined,,,
6294,5c6d3e6339c0bb322db296f8,0.1523016393184662,0,2,0.9402531385421753,fddd52df-1f8a-4116-af26-62d95f40638c,195,354,-1,159,undefined
6295,5c6d3be439c0bb322db2933f,0.17582449316978455,0,1,1.0299632549285889,61e461a6-2c35-4064-a6e1-eb8019655740,303,436,228,360,undefined
6296,"5c6d2f747c4358f081a0b246, 'New', 'New', 'New'",1.0542851686477661,da4460cc-f35b-4bc9-b7f6-311db3f5b310,263,395,201,334,undefined,,,
6297,5c6d2c4f7c4358f081a0ae09,0.1459982693195343,0,2,1.0210164785385132,5f943de5-2918-463d-b479-b3ee098c45a3,231,422,260,452,undefined
6298,5c6d2c347c4358f081a0ade5,0.0826115757226944,0,3,1.066916584968567,5f943de5-2918-463d-b479-b3ee098c45a3,192,384,260,452,undefined
6299,5c6d2c247c4358f081a0adb8,0.17366589605808258,0,1,0.8405094146728516,5f943de5-2918-463d-b479-b3ee098c45a3,214,443,260,490,undefined
6300,5c6d2c107c4358f081a0adaf,0.15452615916728973,0,1,1.0041481256484985,5f943de5-2918-463d-b479-b3ee098c45a3,211,370,209,368,undefined
6301,5c6d29f77c4358f081a0aac9,0.18435856699943542,0,1,0.8869266510009766,04029e21-0b95-4375-abe1-3a41b905151f,261,371,209,320,undefined
6302,5c6d268d7c4358f081a0a197,0.1783793866634369,0,2,0.9574447870254517,b8269306-3365-47d9-aa44-8a365a2c0e98,326,418,500,592,undefined
6303,5c6d255d7c4358f081a09f89,0.15164098143577576,0,2,1.030032992362976,6b46a1bc-c78c-447d-8d61-4572099a76ac,263,395,120,253,undefined
